2023-02-07 19:44:52,983 INFO    MainThread:60071 [wandb_setup.py:_flush():68] Configure stats pid to 60071
2023-02-07 19:44:52,984 INFO    MainThread:60071 [wandb_setup.py:_flush():68] Loading settings from /Users/aneeshaparajit/.config/wandb/settings
2023-02-07 19:44:52,984 INFO    MainThread:60071 [wandb_setup.py:_flush():68] Loading settings from /Users/aneeshaparajit/Desktop/new workspace/dqn-atari/wandb/settings
2023-02-07 19:44:52,984 INFO    MainThread:60071 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-07 19:44:52,984 INFO    MainThread:60071 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'agent.py', 'program': '/Users/aneeshaparajit/Desktop/new workspace/dqn-atari/agent.py'}
2023-02-07 19:44:52,984 INFO    MainThread:60071 [wandb_init.py:_log_setup():478] Logging user logs to /Users/aneeshaparajit/Desktop/new workspace/dqn-atari/wandb/run-20230207_194452-vtw30jzb/logs/debug.log
2023-02-07 19:44:52,984 INFO    MainThread:60071 [wandb_init.py:_log_setup():479] Logging internal logs to /Users/aneeshaparajit/Desktop/new workspace/dqn-atari/wandb/run-20230207_194452-vtw30jzb/logs/debug-internal.log
2023-02-07 19:44:52,984 INFO    MainThread:60071 [wandb_init.py:init():518] calling init triggers
2023-02-07 19:44:52,984 INFO    MainThread:60071 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {}
2023-02-07 19:44:52,984 INFO    MainThread:60071 [wandb_init.py:init():571] starting backend
2023-02-07 19:44:52,984 INFO    MainThread:60071 [wandb_init.py:init():575] setting up manager
2023-02-07 19:44:52,995 INFO    MainThread:60071 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-02-07 19:44:52,997 INFO    MainThread:60071 [wandb_init.py:init():582] backend started and connected
2023-02-07 19:44:53,000 INFO    MainThread:60071 [wandb_init.py:init():670] updated telemetry
2023-02-07 19:44:53,019 INFO    MainThread:60071 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-02-07 19:44:53,899 INFO    MainThread:60071 [wandb_run.py:_on_init():2121] communicating current version
2023-02-07 19:44:55,345 INFO    MainThread:60071 [wandb_run.py:_on_init():2125] got version response 
2023-02-07 19:44:55,345 INFO    MainThread:60071 [wandb_init.py:init():758] starting run threads in backend
2023-02-07 19:44:55,400 INFO    MainThread:60071 [wandb_run.py:_console_start():2101] atexit reg
2023-02-07 19:44:55,401 INFO    MainThread:60071 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2023-02-07 19:44:55,401 INFO    MainThread:60071 [wandb_run.py:_redirect():2024] Wrapping output streams.
2023-02-07 19:44:55,401 INFO    MainThread:60071 [wandb_run.py:_redirect():2046] Redirects installed.
2023-02-07 19:44:55,401 INFO    MainThread:60071 [wandb_init.py:init():798] run started, returning control to user process
2023-02-07 19:45:03,113 WARNING MsgRouterThr:60071 [router.py:message_loop():77] message_loop has been closed
